PUA	Unicode	Source
⩡	𪘒	教育部辭典
⳪	𢳪	教育部辭典
㧾	㧾	教育部辭典
㘔	㘔	教育部辭典
㼓	㼓	教育部辭典
㾊	㾊	教育部辭典
␰	𤌍	教育部辭典
	𫣆	客委會認證詞庫
	𠎷	客委會認證詞庫
	𠊎	客委會認證詞庫
	靗	客委會認證詞庫
	𧩣	客委會認證詞庫
	㰵	客委會認證詞庫
	𥏘	客委會認證詞庫
	贌	客委會認證詞庫
	𪐞	客委會認證詞庫
	桊	客委會認證詞庫
	𤿩	客委會認證詞庫
	𢼛	客委會認證詞庫
	竳	客委會認證詞庫
	⿱窗心	客委會認證詞庫
	𢭪	客委會認證詞庫
	㧮	客委會認證詞庫
	䃗	客委會認證詞庫
	𨲭	客委會認證詞庫
	㿸	客委會認證詞庫
	㪐	客委會認證詞庫
	𡟓	客委會認證詞庫
	㜺	客委會認證詞庫
	𡜵	客委會認證詞庫
	㜮	客委會認證詞庫
	凴	客委會認證詞庫
	嫲	客委會認證詞庫
	𩜰	客委會認證詞庫
	䬺	客委會認證詞庫
	噼	客委會認證詞庫
	羴	客委會認證詞庫
	匧	客委會認證詞庫
	虬	客委會認證詞庫
	㸰	客委會認證詞庫
	䘆	客委會認證詞庫
	吂	客委會認證詞庫
	㐁	客委會認證詞庫
	亼	客委會認證詞庫
	㞓	客委會認證詞庫
	𡳞	客委會認證詞庫
	𫙮	客委會認證詞庫
	㶣	客委會認證詞庫
	个	客委會認證詞庫
	㝗	客委會認證詞庫
	吡	客委會認證詞庫
	𠯤	客委會認證詞庫
	吲	客委會認證詞庫
	㝩	客委會認證詞庫
	䌈	客委會認證詞庫
	㓾	客委會認證詞庫
	啉	客委會認證詞庫
	刣	客委會認證詞庫
	𠠃	客委會認證詞庫
	𠚼	客委會認證詞庫
	喹	客委會認證詞庫
	嗪	客委會認證詞庫
	㘔	客委會認證詞庫
	𢜳	客委會認證詞庫
	𢛔	客委會認證詞庫
	𨃰	客委會認證詞庫
	䟘	客委會認證詞庫
	䟓	客委會認證詞庫
	跔	客委會認證詞庫
	𤍒	客委會認證詞庫
	炣	客委會認證詞庫
	㸐	客委會認證詞庫
	𤊶	客委會認證詞庫
	熻	客委會認證詞庫
	𤎖	客委會認證詞庫
	煏	客委會認證詞庫
	秥	客委會認證詞庫
	㸄	客委會認證詞庫
	碸	客委會認證詞庫
	𥺆	客委會認證詞庫
	⿰火老	客委會認證詞庫
	膁	客委會認證詞庫
	𦣘	客委會認證詞庫
	𦣇	客委會認證詞庫
	脲	客委會認證詞庫
	肼	客委會認證詞庫
	肽	客委會認證詞庫
	𢬵	客委會認證詞庫
	苷	客委會認證詞庫
	閕	客委會認證詞庫
	𨴀	客委會認證詞庫
	𥯟	客委會認證詞庫
	篼	客委會認證詞庫
	䇶	客委會認證詞庫
	萘	客委會認證詞庫
	萜	客委會認證詞庫
	𥯥	客委會認證詞庫
	䈪	客委會認證詞庫
	蟎	客委會認證詞庫
	蠚	客委會認證詞庫
	酜	客委會認證詞庫
	酶	客委會認證詞庫
	醌	客委會認證詞庫
	𣲩	客委會認證詞庫
	𣼎	客委會認證詞庫
	𥉌	客委會認證詞庫
	噻	客委會認證詞庫
	𫝘	客委會認證詞庫
	㗁	客委會認證詞庫
	㖸	客委會認證詞庫
	吔	客委會認證詞庫
	哯	客委會認證詞庫
	哊	客委會認證詞庫
	𧊅	客委會認證詞庫
	𧒒	客委會認證詞庫
	䗆	客委會認證詞庫
	倐	客委會認證詞庫
	𤌣	客委會認證詞庫
	𪈏	客委會認證詞庫
	璓	客委會認證詞庫
	璤	客委會認證詞庫
	矅	客委會認證詞庫
